Year,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Total
2001,64,30,50,39,13,30,54,38,25,9,30,51,39,31,57,27,10,15,14,47,4,677
2002,47,49,53,40,14,19,59,32,23,17,33,56,48,23,46,30,15,23,11,46,15,699
2003,35,35,48,34,14,31,58,24,26,11,29,59,56,24,46,31,22,19,15,37,12,666
2004,37,47,55,32,15,16,64,24,17,9,30,56,47,34,63,25,17,18,20,43,15,684
2005,55,48,42,31,20,33,53,36,29,7,31,40,65,28,35,29,17,18,13,39,22,691
2006,53,39,45,45,14,26,50,34,29,16,32,63,44,32,60,31,14,19,17,32,13,708
2007,52,38,52,43,18,21,47,44,26,7,23,52,46,27,68,29,11,19,14,29,8,674
2008,30,22,45,42,11,23,43,29,24,9,20,42,45,25,37,25,14,15,14,35,5,555
2009,41,25,43,37,8,27,40,22,22,8,21,44,34,18,57,23,13,13,7,38,9,550
2010,22,36,33,37,4,22,40,19,24,12,18,37,43,23,53,22,10,27,11,28,9,530
2011,41,30,50,46,8,22,50,24,25,10,22,52,31,24,47,27,12,17,11,24,13,586
2012,31,31,47,25,10,17,40,22,23,5,23,60,34,27,50,30,8,16,14,28,12,553
2013,40,36,35,29,5,24,37,26,14,7,28,50,26,23,43,26,8,19,6,18,8,508
2014,37,37,31,38,11,17,33,30,22,6,25,32,45,13,44,23,15,24,7,27,6,523
2015,26,29,43,32,12,25,38,21,25,8,18,38,45,21,38,28,11,18,10,28,8,522
2016,39,32,49,38,11,29,42,26,22,10,20,43,47,20,39,22,14,18,12,24,13,570
2017,34,25,46,40,15,24,39,43,23,8,26,44,40,26,52,18,15,22,7,33,11,591
2018,27,32,40,42,10,18,43,33,21,3,28,47,28,25,31,20,7,23,12,27,7,524
2019,30,40,29,45,12,20,35,39,19,6,21,42,33,25,37,27,8,11,13,23,9,524
2020,38,38,40,36,8,22,39,33,24,12,20,61,33,17,30,26,11,14,7,29,12,550
2021,46,35,40,67,12,27,60,42,29,9,35,45,32,25,43,24,20,25,11,27,13,667
2022,34,38,54,51,14,20,50,39,15,8,26,64,46,19,48,25,19,17,14,30,15,646
