Year,US Fatalities,NJ Crashes,NJ Fatalities,NJ Pedestrian Fatalities,NJ Motorcycle Fatalities,US Annual VMT (Millions),NJ Annual VMT (Millions)
1968,52725,1208,1352,386,,,
1969,53543,1151,1272,332,,,
1970,52627,1142,1279,328,,,
1971,52542,1177,1319,352,,,
1972,54589,1202,1314,345,,,
1973,54052,1192,1355,319,,,
1974,45196,1030,1112,319,,,
1975,44525,957,1079,261,,,
1976,45523,946,1056,270,,,
1977,47878,1002,1108,266,,,
1978,50331,1045,1159,275,,,
1979,51093,1052,1142,298,,,
1980,51091,1021,1119,282,,1527295.0,51841.0
1981,49301,1043,1162,273,,1555308.0,51328.0
1982,43945,965,1061,276,,1595010.0,51935.0
1983,42589,866,932,229,,1652788.0,52217.0
1984,44257,859,922,248,,1720269.0,52312.0
1985,43825,885,964,257,,1774826.0,52690.0
1986,46087,946,1039,278,,1834872.0,55589.0
1987,46390,929,1023,215,,1921204.0,57071.0
1988,47087,966,1051,239,,2025962.0,58671.0
1989,45582,815,892,217,,2096487.0,59898.0
1990,44599,818,888,201,,2144362.0,58923.0
1991,41508,744,790,178,,2172050.0,59289.0
1992,39250,695,764,170,,2247151.0,59410.0
1993,40150,721,789,197,,2296378.0,59726.0
1994,40716,691,761,168,35.0,2357588.0,60466.0
1995,41817,719,773,162,39.0,2422823.0,61012.0
1996,42065,754,809,176,51.0,2484080.0,62334.0
1997,42013,699,774,145,44.0,2552233.0,62784.0
1998,41501,671,741,156,38.0,2628148.0,64510.0
1999,41717,664,725,154,40.0,2690241.0,65541.0
2000,41945,655,723,146,58.0,2746925.0,67446.0
2001,42196,677,740,130,73.0,2795610.0,68725.0
2002,43005,699,771,176,54.0,2855508.0,69942.0
2003,42884,666,735,139,58.0,2890221.0,69778.0
2004,42836,684,723,152,76.0,2964788.0,72844.0
2005,43510,691,748,155,64.0,2989430.0,73819.0
2006,42708,709,771,167,99.0,3014371.0,75371.0
2007,41259,674,724,150,82.0,3031124.0,76152.0
2008,37423,555,590,138,81.0,2976528.0,73629.0
2009,33883,550,584,157,66.0,2956763.51799887,73029.0
2010,32999,530,556,141,70.0,2967265.96657172,73027.659189
2011,32479,586,627,143,92.0,2946131.27273388,73093.77110245
2012,33782,553,590,163,77.0,2968814.90078925,74225.37569804
2013,32893,508,542,132,56.0,2988280.1901843,74529.791942
2014,32744,523,556,170,61.0,3025655.72689963,74856.3851601
2015,35485,522,562,173,49.0,3095372.70102097,75393.41931205
2016,37806,570,602,166,69.0,3174407.957934,77092.63215634
2017,37473,591,624,183,84.0,3212347.31133883,77508.6023092
2018,36835,524,563,175,53.0,3240326.5426354,77538.9111719
2019,36355,524,558,176,84.0,3261771.66284132,78205.29719884
2020,39007,550,587,179,78.0,2903621.52638,66341.14996
2021,43230,667,697,217,97.0,3132411.49899,73672.75741
2022,42514,646,689,191,95.0,3196191.39644,75287.57049
2023,40990,574,606,171,,3196191.39644,75287.57049
