Year,Bergen,Essex,Hudson,Hunterdon,Morris,Passaic,Somerset,Sussex,Union,Warren,Total
2001,30,54,25,9,31,27,15,14,47,4,677
2002,49,59,23,17,23,30,23,11,46,15,699
2003,35,58,26,11,24,31,19,15,37,12,666
2004,47,64,17,9,34,25,18,20,43,15,684
2005,48,53,29,7,28,29,18,13,39,22,691
2006,39,50,29,16,32,31,19,17,32,13,708
2007,38,47,26,7,27,29,19,14,29,8,674
2008,22,43,24,9,25,25,15,14,35,5,555
2009,25,40,22,8,18,23,13,7,38,9,550
2010,36,40,24,12,23,22,27,11,28,9,530
2011,30,50,25,10,24,27,17,11,24,13,586
2012,31,40,23,5,27,30,16,14,28,12,553
2013,36,37,14,7,23,26,19,6,18,8,508
2014,37,33,22,6,13,23,24,7,27,6,523
2015,29,38,25,8,21,28,18,10,28,8,522
2016,32,42,22,10,20,22,18,12,24,13,570
2017,25,39,23,8,26,18,22,7,33,11,591
2018,32,43,21,3,25,20,23,12,27,7,524
2019,40,35,19,6,25,27,11,13,23,9,524
2020,38,39,24,12,17,26,14,7,29,12,550
2021,35,60,29,9,25,24,25,11,27,13,667
2022,38,50,15,8,19,25,17,14,30,15,646
