Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1895,4.24,1.16,2.56,4.63,2.98,3.34,4.56,3.11,0.92,4.43,3.19,3.16,38.28
1896,1.35,7.15,6.24,1.38,3.76,5.33,7.2,2.07,5.33,2.49,4.06,1.24,47.6
1897,2.71,3.2,3.15,3.74,6.91,3.33,11.81,5.78,2.43,1.57,5.4,5.13,55.16
1898,4.72,3.65,3.29,3.79,7.77,2.17,4.81,6.17,1.87,5.64,6.64,3.58,54.1
1899,4.01,5.1,6.73,1.93,2.2,2.89,5.7,3.65,6.76,1.81,2.66,2.5,45.94
1900,3.77,5.82,3.61,2.37,4.69,3.12,5.24,2.89,2.62,3,3.63,2.55,43.31
1901,2.02,0.86,5.55,6.69,6.02,1.72,6.74,8.99,3.4,2,2.03,7.87,53.89
1902,3.3,6.34,4.44,3.85,2.34,5.97,5.57,4.44,6.78,6.11,1.37,7.7,58.21
1903,4.06,4.71,4.71,3.98,0.69,10.48,4.76,6.76,3.09,9.66,1.47,4.15,58.52
1904,3.57,2.44,3.57,3.46,3.13,3.04,4.94,6.89,5.67,4.49,2.12,2.6,45.92
1905,4.98,1.86,3.73,2.42,1.33,3.07,4.39,6.09,6.07,3.45,2.36,3.37,43.12
1906,2.78,2.59,4.77,4.58,4.77,4.04,5.7,4.02,2.34,4.43,1.62,4.18,45.82
1907,3.87,2.52,2.89,3.25,3.9,3.99,2.41,2.8,9.14,5.26,5.75,4.85,50.63
1908,3.61,5.45,3.1,2.74,7.88,2.47,4.5,5.17,1.97,3.06,0.93,3.04,43.92
1909,3.37,5.52,3.43,6.49,2.27,3.28,2.34,4.45,3.13,1.04,2.41,4.49,42.22
1910,5.22,3.76,1.3,5.84,2.83,4.15,1.02,3.33,2.71,2.34,4.15,2.32,38.97
1911,2.93,2.77,3.36,3.72,1.62,6.38,3.89,7.45,2.62,6.44,4.68,3.61,49.47
1912,2.19,2.4,7.46,4.16,4.02,1.95,3.05,4.67,4.78,3.49,3.45,4.96,46.58
1913,3.7,2.49,6,5.35,3.17,1.47,2.8,4.25,3.98,8.58,3.39,3.39,48.57
1914,3.83,2.63,3.85,3.87,3.31,3.12,5.91,2.58,0.36,2.04,3.01,4.88,39.39
1915,6.15,5.29,0.98,2.96,3.63,2.63,5.35,8.6,2.89,2.86,2.02,5.15,48.51
1916,1.35,4.05,3.29,3.68,3.26,4.71,6.29,1.26,3.39,1.43,2.52,4.32,39.55
1917,3.39,1.68,3.91,2.09,3.97,4.53,4.17,2.04,1.89,6.3,0.75,3.19,37.91
1918,3.89,2.62,1.72,4.53,4.98,4.09,3.51,2.22,3.9,1.29,2.27,3.97,38.99
1919,3.28,3.25,5.51,2.84,4.75,3.66,8.08,5.64,4.05,4.16,4.5,2.62,52.34
1920,2.57,3.99,3.91,5.02,3.22,5.07,7.97,5.82,4.93,2.31,4.13,5.22,54.16
1921,2.87,3.72,2.83,3.62,4.01,3.44,4.06,3.96,2.89,1.22,4.57,2.54,39.73
1922,2.05,2.63,4.66,2.96,4.53,6.44,6.13,3.98,2.51,1.6,0.91,3.55,41.95
1923,5.1,2.24,3.44,3.28,2.11,2.79,3.55,2.25,3.68,4.54,2.76,4.11,39.85
1924,4.39,3.56,1.73,6.19,5.89,3.45,3.37,4.17,6.01,0.51,1.93,2.47,43.67
1925,4.28,2.78,4.25,2.12,3.51,3.68,7.33,2.08,3.81,4.77,3.69,2.91,45.21
1926,2.39,4.76,2.13,2.06,2.29,2.82,4.75,6.91,4.82,4.76,4.67,3.08,45.44
1927,2.51,2.94,1.51,2.59,4.34,3.61,6.1,9.05,2.42,7.99,5.1,4.57,52.73
1928,2.43,4.33,2.85,5.06,2.12,7.25,7.61,7.51,3.28,1.12,1.93,1.38,46.87
1929,3.53,3.81,3,6.67,3.81,3.44,1.79,2.97,5,4.73,2.81,3.28,44.84
1930,2.51,2.35,2.92,2.71,2.94,4.34,3.99,3.57,2.3,1.67,4.08,2.84,36.22
1931,1.96,2.32,3.6,3.14,4.51,5.5,5.36,4,2.24,2.64,0.88,2.36,38.51
1932,4.07,2.35,4.71,2.33,2.9,3.4,2.59,2.86,2.18,6.61,8.69,2.33,45.02
1933,1.9,3.12,5.09,5.16,4.78,2.85,3.92,10.41,7.38,2.44,0.72,2.91,50.68
1934,3.18,2.2,3.27,4.54,4.79,4.16,3.74,3.28,9.98,2.56,3.27,2.98,47.95
1935,3.44,2.51,2.51,1.96,1.34,4.31,6.32,2.28,4.72,4.62,4.6,1.51,40.12
1936,6.44,2.67,6.18,3.74,3.21,5.59,1.88,4.56,2.75,3.75,1.46,6.18,48.41
1937,6.2,2.51,2.73,4.62,3.44,5.09,3.77,6.99,2.66,4.62,4.48,2.19,49.3
1938,3.97,2.19,2.32,3.15,3.6,8.21,9.06,2.85,9.02,2.37,3.31,3.61,53.66
1939,3.69,5.13,4.32,5.16,1.63,3.61,2.33,4.52,1.8,4.19,1.84,1.96,40.18
1940,2.16,2.9,5.62,5.94,6.22,3.92,3.09,5.09,4.03,2.43,4.66,3.44,49.5
1941,2.96,2.38,2.53,2.23,2.12,4.73,6.58,4.83,0.48,2.1,3.21,3.96,38.11
1942,2.87,2.83,5.64,1.5,3.51,3.75,7.61,8.98,5.98,3.43,4.64,5.14,55.88
1943,2.9,1.97,2.76,2.77,5.46,3.76,4.5,3.15,1.48,7.69,3.52,1.14,41.1
1944,3.34,2.25,5.42,5.31,1.96,4.53,1.74,2.53,7.08,1.82,6.18,3.36,45.52
1945,3.48,3.15,2.52,3.83,5.96,4.78,10.27,4.85,5.55,2.48,5.92,4.43,57.22
1946,1.5,2.2,2.92,1.39,7.22,5.02,6.54,4.7,4.16,2.01,1.24,2.22,41.12
1947,3.31,1.96,3.15,4.96,7.73,4.56,5.47,3.38,2.93,2.11,7.13,3.34,50.03
1948,4.09,2.15,3.57,3.97,7.79,6.08,3.95,4.74,1.08,1.91,4.13,6.51,49.97
1949,6,2.98,1.97,4.33,4.73,0.34,4.22,3.58,4.24,2.09,1.31,3.29,39.08
1950,2.73,4.23,4.32,2.31,3.86,3.06,5.48,4.6,2.31,1.92,5.76,4.97,45.55
1951,3.65,4.36,6.34,3.21,4.25,4.27,6.1,3.8,2.09,4.59,6.91,5.25,54.82
1952,4.76,2.4,5.1,7.62,5.85,5,5.51,6.55,5.12,0.86,5.15,4.47,58.39
1953,5.78,2.28,7.21,6.18,4.91,2.68,4.03,2.19,2.14,3.83,2.23,5.04,48.5
1954,1.87,2.02,3.76,3.31,4.5,1.22,1.64,7.25,5.52,2.25,5.88,3.79,43.01
1955,0.78,3.12,4.28,2.62,1.63,3.86,1.41,14.62,2.81,9.46,3.2,0.39,48.18
1956,1.94,4.65,4.69,3.96,2.81,3.96,5.82,3.47,4.04,3,3.71,4.39,46.44
1957,2,2.46,2.66,5.85,2.24,2.23,1.98,2.15,2.92,3.21,3.65,7.23,38.58
1958,5,4.31,4.32,6.51,4.02,2.76,4.84,3.59,4.61,5.81,3.18,1.32,50.27
1959,2.48,2.07,3.75,3.11,1.44,5.2,4.33,5.65,2.44,5.86,4.04,4.71,45.08
1960,3.5,4.25,2.3,3.78,4.16,2.4,7.94,5.88,7.32,1.96,2.44,2.76,48.69
1961,2.81,3.31,4.93,5.6,3.67,2.61,6.33,4.4,2.08,1.86,3.16,3.43,44.19
1962,2.82,4.21,2.91,4.06,1.57,3.53,2.41,5.53,3.62,3.65,4.38,2.68,41.37
1963,2.52,2.34,3.64,0.99,2.84,2.41,3.68,2.22,4.58,0.28,7.05,2.14,34.69
1964,4.49,2.82,2.13,5.61,1.2,3.22,4.39,0.85,1.83,1.28,2.43,4.44,34.69
1965,2.75,3.11,2.66,2.42,1.6,1.41,2.65,4.09,3,3.29,1.89,1.97,30.84
1966,3.05,3.68,2.21,2.72,3.71,0.99,1.52,2.64,7.24,4.34,3.89,3.82,39.81
1967,1.45,2.15,5.97,2.77,4.13,3.26,6.4,7.19,2.12,2.92,2.62,5.59,46.57
1968,2.41,0.89,4.48,2.71,7.24,5.54,1.54,3.21,2.51,2.6,5.09,3.83,42.05
1969,1.75,2.11,3,3.62,2.79,4.02,8.38,4.47,5.05,1.77,3.8,6.12,46.88
1970,0.71,3.49,3.58,4.22,3.19,2.93,3.38,4,2.47,4.61,5.65,2.78,41.01
1971,2.62,5.24,3.28,2.58,4.63,1.75,5.2,10.23,6.38,4.03,5.25,1.93,53.12
1972,2.35,4.63,3.82,3.48,6.53,10.6,4.09,1.8,2.07,4.79,9.6,6.1,59.86
1973,4.55,3.47,3.55,6.84,5.6,6.62,3.91,4.26,3.62,4.41,1.83,8.73,57.39
1974,3.62,1.97,5.26,3.71,4.11,4.13,2.53,6.2,7.34,2.09,1.91,5.09,47.96
1975,5.23,3.59,4.06,3.02,4.63,6.82,9.98,4.31,9.11,4.31,4.06,2.91,62.03
1976,5.27,2.71,2.37,2.76,4.21,4.61,3.64,4.49,3.42,6.26,0.64,2.38,42.76
1977,1.73,2.7,6.96,4.46,1.9,4.47,2.52,4.44,5.67,4.67,7.23,5.55,52.3
1978,8.04,1.56,3.77,1.89,7.18,2.72,3.69,6.23,3.32,1.88,2.5,4.59,47.37
1979,10.2,4.12,3.34,4.14,6.45,3.01,3.49,4.98,7.55,4.4,3.88,2.28,57.84
1980,1.75,1.04,7.19,7.11,2.42,3.25,3.55,1.62,1.86,4.29,3.47,0.69,38.24
1981,0.59,5.83,1.13,3.69,5.24,3.52,4.97,1.66,3.63,4.02,1.62,4.45,40.35
1982,4.66,2.95,2.28,5.81,3.28,6.15,3.42,3.51,2.96,1.64,3.62,1.77,42.05
1983,3.93,3.01,8.15,10.3,5.22,3.73,2.7,3.31,2.77,5.63,5.84,8.58,63.17
1984,1.84,4.02,5.55,5.83,9.79,3.56,9.25,2.07,2,3.18,2.57,3.3,52.96
1985,1.1,2.36,1.65,1.19,5.78,4.99,4.78,3.92,6.21,1.83,7.46,1.73,43
1986,4.26,3.77,2.32,5.62,1.71,3.6,5.9,5.2,2.57,2.16,6.83,5.03,48.97
1987,4.61,0.89,2.81,6.28,2.03,3.44,5.76,5.28,6.16,4.54,3.61,1.8,47.21
1988,2.73,3.77,2.21,2.13,5.65,0.99,8.4,3.51,3.01,2.61,7.24,1.11,43.36
1989,1.75,2.5,3.63,3.06,10.13,6.79,4.28,4.41,7.88,6.03,2.79,0.64,53.89
1990,4.88,2.28,2.72,3.33,8.62,3.42,4.38,8.61,2.33,5.48,3.18,6.18,55.41
1991,3.13,1.59,4.56,3.99,2.93,2.96,4.42,4.66,4.66,2.43,2.69,3.67,41.69
1992,2.19,1.76,3.78,2.11,3.47,5.77,5,4.03,3.77,1.64,5.86,5,44.38
1993,2.72,2.97,6.3,5.57,1.09,3.02,2.02,3.38,6.35,4.17,3.71,4.46,45.76
1994,5.61,3.19,5.89,3.34,3.74,5.36,4.6,5.84,3.04,1.31,4.28,2.68,48.88
