Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1895,4.45,1.29,3.74,5.37,3.23,3.02,3.88,1.41,1.13,3.07,2.99,2.55,36.13
1896,1.8,6.68,5.33,1.34,3.42,5.6,4.27,1.42,3.62,2.37,2.55,1.2,39.6
1897,2.61,3.97,2.48,4.06,4.52,3.4,11.14,4.35,1.33,2.65,4.58,4.09,49.18
1898,3.73,3.34,3.06,3.46,6.16,1.99,4.53,5.02,2.17,5.44,6.63,3.7,49.23
1899,3.61,6.12,6.11,1.52,1.81,2.39,5.78,4.03,4.56,2.8,2.09,1.83,42.65
1900,3.46,4.9,3.33,2.31,4.25,3.25,4.14,2.75,2.99,3.99,3.19,2.56,41.12
1901,2.7,1.01,4.01,5.68,5.09,1.73,5.11,9.5,3.73,1.88,2.84,7.16,50.44
1902,3.19,6.33,4.07,3.44,1.68,7.5,3.91,3.35,4.77,6.05,2.84,7.08,54.21
1903,3.83,4.87,4.74,3.78,0.61,6.02,5.61,5.4,3.23,7.18,1.17,4.02,50.46
1904,2.58,2.6,3.42,3.06,2.14,2.84,4.74,5.93,4.35,3.31,2.26,3.34,40.57
1905,4.04,3.02,4.11,3.22,1.94,3.07,3.31,5.92,4.31,2.16,1.65,4.11,40.86
1906,2.84,2.66,5.41,2.98,3.3,4.3,5.31,8.22,2.07,4.66,1.74,3.97,47.46
1907,3.31,2.64,2.93,4.06,5.54,4.95,2.79,4.27,7.43,3.63,5.42,5.17,52.14
1908,3.77,4.01,2.93,2.69,6.32,2.3,5.59,5.35,2.01,2.38,1.08,4.37,42.8
1909,3.1,4.77,3.71,5.17,2.43,3.25,2.16,3.35,3.36,1.31,2.71,4.8,40.12
1910,4.67,2.28,1.17,4.65,2.13,6.09,1.98,4.14,2.14,3.68,3.46,3.27,39.66
1911,4.09,2.59,3.39,4.37,1.15,4.96,3.32,10.4,3.24,3.89,5.66,3.93,50.99
1912,3.51,2.51,8.38,3.39,3.94,2.12,5.41,2.67,4.23,2.68,3.12,4.85,46.81
1913,3.54,2.26,4.22,6.14,3.69,1.92,2.59,4.32,4.04,5.94,2.58,2.8,44.04
1914,3.6,2.91,3.51,3.26,1.84,2.65,6.15,3.17,0.4,1.6,2.01,6.9,38
